wave,abs
310.6280193,0.106031746
315.942029,0.112380952
321.2560386,0.12
327.0531401,0.126349206
333.3333333,0.128888889
338.1642512,0.13015873
344.4444444,0.128888889
349.7584541,0.126349206
354.589372,0.125079365
360.8695652,0.127619048
366.1835749,0.133968254
371.0144928,0.141587302
376.3285024,0.151746032
381.1594203,0.163174603
385.9903382,0.177142857
391.3043478,0.192380952
396.6183575,0.211428571
402.8985507,0.229206349
408.2125604,0.243174603
412.5603865,0.254603175
415.942029,0.263492063
419.3236715,0.26984127
423.1884058,0.276190476
427.0531401,0.28
430.9178744,0.282539683
434.7826087,0.282539683
439.1304348,0.28
444.4444444,0.273650794
449.2753623,0.266031746
454.1062802,0.255873016
458.4541063,0.245714286
463.2850242,0.231746032
467.1497585,0.217777778
471.0144928,0.205079365
474.3961353,0.192380952
478.7439614,0.177142857
483.0917874,0.161904762
487.9227053,0.141587302
493.7198068,0.121269841
498.5507246,0.106031746
503.8647343,0.08952381
508.2125604,0.078095238
513.0434783,0.065396825
517.8743961,0.053968254
523.6714976,0.042539683
530.4347826,0.032380952
537.1980676,0.023492063
543.4782609,0.017142857
550.2415459,0.012063492
556.0386473,0.00952381
563.7681159,0.005714286
571.4975845,0.003174603
580.6763285,0.001904762
595.1690821,0.001904762
618.8405797,0.000634921
641.5458937,-0.000634921
659.9033816,-0.000634921
684.5410628,-0.001904762
704.3478261,-0.001904762
721.7391304,-0.001904762
734.7826087,-0.001904762
750.2415459,-0.001904762
