wave,abs
309.6618357,0.224126984
313.0434783,0.212698413
315.4589372,0.196190476
317.8743961,0.177142857
319.8067633,0.156825397
322.2222222,0.139047619
324.6376812,0.116190476
327.5362319,0.098412698
330.9178744,0.085714286
334.7826087,0.075555556
339.6135266,0.071746032
345.8937198,0.076825397
352.173913,0.084444444
357.9710145,0.094603175
363.7681159,0.103492063
369.5652174,0.114920635
375.3623188,0.125079365
379.7101449,0.133968254
384.057971,0.14031746
388.8888889,0.145396825
392.7536232,0.146666667
395.6521739,0.145396825
400.4830918,0.14031746
405.7971014,0.128888889
413.52657,0.111111111
418.3574879,0.095873016
421.2560386,0.084444444
426.0869565,0.069206349
429.9516908,0.057777778
432.8502415,0.051428571
436.7149758,0.042539683
441.0628019,0.034920635
446.8599034,0.031111111
452.173913,0.032380952
457.4879227,0.032380952
463.2850242,0.036190476
469.0821256,0.042539683
475.8454106,0.051428571
482.6086957,0.062857143
489.3719807,0.075555556
496.1352657,0.090793651
504.8309179,0.111111111
510.1449275,0.126349206
517.3913043,0.151746032
524.1545894,0.177142857
531.884058,0.205079365
539.6135266,0.239365079
547.3429952,0.276190476
552.173913,0.304126984
557.4879227,0.330793651
561.352657,0.353650794
566.1835749,0.381587302
571.9806763,0.415873016
576.8115942,0.447619048
582.6086957,0.484444444
586.47343,0.508571429
590.821256,0.537777778
595.6521739,0.570793651
600.4830918,0.601269841
603.3816425,0.62031746
606.2801932,0.636825397
609.178744,0.64952381
612.0772947,0.658412698
614.9758454,0.663492063
617.8743961,0.663492063
621.7391304,0.654603175
624.6376812,0.643174603
626.5700483,0.63047619
628.5024155,0.612698413
631.4009662,0.584761905
633.3333333,0.561904762
635.7487923,0.537777778
638.1642512,0.507301587
640.5797101,0.471746032
642.9951691,0.434920635
645.8937198,0.399365079
648.3091787,0.361269841
651.6908213,0.311746032
655.0724638,0.26984127
658.9371981,0.225396825
661.8357488,0.191111111
665.2173913,0.159365079
668.115942,0.131428571
671.4975845,0.107301587
675.3623188,0.086984127
679.7101449,0.065396825
684.5410628,0.045079365
690.3381643,0.02984127
697.1014493,0.018412698
704.8309179,0.00952381
711.5942029,0.005714286
720.7729469,0.001904762
731.4009662,0.000634921
743.9613527,0.000634921
